categorie;marque;modele;budget;description;image;url_amazon;url_manomano;url_leroy_merlin
Serrage & Assemblage;WOLFCRAFT;Serre-joint 300mm;€;Le serrage standard. Maintient tes projets comme un pro.;assets/catalogue/output/wolfcraft_300.png;https://www.amazon.fr/dp/B0001P19LI?linkCode=ssc&tag=onamzferryflo-21&creativeASIN=B0001P19LI&asc_item-id=amzn1.ideas.3K6RQTQJ9JSDK&ref_=aip_sf_list_spv_ons_mixed_d_asin&th=1;;https://www.leroymerlin.fr/produits/serre-joint-1-main-wolfcraft-300-mm-66412682.html?at_medium=Affiliation&at_source=affilae&at_campaign=flo-perspectives&ae=1423
Serrage & Assemblage;WOLFCRAFT;Serre-joint 450mm;€;Plus de bras, plus de force. Ne lâche rien, jamais.;assets/catalogue/output/wolfcraft_450.png;https://www.amazon.fr/dp/B0FC2HDC82?linkCode=ssc&tag=onamzferryflo-21&creativeASIN=B0FC2HDC82&asc_item-id=amzn1.ideas.3K6RQTQJ9JSDK&ref_=aip_sf_list_spv_ons_mixed_d_asin;;https://www.leroymerlin.fr/produits/serre-joint-1-main-wolfcraft-450-mm-66406102.html?at_medium=Affiliation&at_source=affilae&at_campaign=flo-perspectives&ae=1423
Serrage & Assemblage;WOLFCRAFT;Serre-joint 700mm;€;La grande envergure. Pour les projets qui voient grand.;assets/catalogue/output/wolfcraft_700.png;https://www.amazon.fr/dp/B000P3BQJG?linkCode=ssc&tag=onamzferryflo-21&creativeASIN=B000P3BQJG&asc_item-id=amzn1.ideas.3K6RQTQJ9JSDK&ref_=aip_sf_list_spv_ons_mixed_d_asin&th=1;;https://www.leroymerlin.fr/produits/serre-joint-1-main-wolfcraft-700-mm-66412724.html?at_medium=Affiliation&at_source=affilae&at_campaign=flo-perspectives&ae=1423
Serrage & Assemblage;WOLFCRAFT;Serre-joint 915mm;€;Le titan du serrage. Presse tout ce qui dépasse.;assets/catalogue/output/wolfcraft_915.png;https://www.amazon.fr/dp/B000P3DVGW?linkCode=ssc&tag=onamzferryflo-21&creativeASIN=B000P3DVGW&asc_item-id=amzn1.ideas.3K6RQTQJ9JSDK&ref_=aip_sf_list_spv_ons_mixed_d_asin&th=1;;https://www.leroymerlin.fr/produits/serre-joint-1-main-wolfcraft-915-mm-66412731.html?at_medium=Affiliation&at_source=affilae&at_campaign=flo-perspectives&ae=1423
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
